Amazon_SKU,Name,price,rating,number_of_reviews,stock,url,UUID
B08WHJPBFX,"ASUS TUF Gaming NVIDIA GeForce RTX 3060 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II) ",Not available,4.5,208,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B08WHJPBFX/ref=sr_1_18?dchild=1&keywords=3060+Graphics+Card&qid=1634071434&sr=8-18,c4021a77-2a84-4d2c-95cb-039021858503
B0985VND1G,"ASUS TUF Gaming NVIDIA GeForce RTX 3060 V2 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II) ",Not available,4.6,6,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B0985VND1G/ref=sr_1_17?dchild=1&keywords=3060+Graphics+Card&qid=1634071434&sr=8-17,5ba4a1ce-8a4e-4774-9e8b-bf3aab34e811
B096L3GLYS,"ASUS TUF Gaming NVIDIA GeForce RTX 3080 Ti OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II) ",2258.95,3.9,24,Only 2 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B096L3GLYS/ref=sr_1_15?dchild=1&keywords=3080+Graphics+Card&qid=1634071437&sr=8-15,d6f7ff6a-290c-4ebd-9b2a-2ac6aa6d1942
B08HJGNJ81,"ASUS TUF Gaming NVIDIA GeForce RTX 3090 OC Edition Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings ",Not available,4.5,89,out of stock,https://www.amazon.com/ASUS-GeForce-Graphics-DisplayPort-Bearings/dp/B08HJGNJ81/ref=sr_1_8?dchild=1&keywords=3090+Graphics+Card&qid=1634071438&sr=8-8,023db2b7-2ed4-4d33-9c9b-9801003a2bb3
B09DMX8M32,AX Bundle RTX 3080 Ventus 10GB GDRR6X 320-Bit HDMI DP Nvlink Tri-Frozr 2 Ampere Architecture OC LHR Graphics Card and AX HDMI 2.1 UHD 48 Gbps (4k@120Hz/8K@60Hz) ,1739.99,0.0,no reviews,Only 6 left in stock - order soon.,https://www.amazon.com/Bundle-320-Bit-Tri-Frozr-Architecture-Graphics/dp/B09DMX8M32/ref=sr_1_10?dchild=1&keywords=3080+Graphics+Card&qid=1634071437&sr=8-10,6255c2e3-3d5e-48a2-94de-1014be9657aa
B09CLX9JB9,"EV GA GeForce RTX 3080 XC3 Black Gaming Video Card, 10G-P5-3881-KL, 10GB GDDR6X, iCX3 Cooling, ARGB LED, LHR ",1650.0,3.5,3,Only 9 left in stock - order soon.,https://www.amazon.com/GeForce-Gaming-10G-P5-3881-KL-GDDR6X-Cooling/dp/B09CLX9JB9/ref=sr_1_7?dchild=1&keywords=3080+Graphics+Card&qid=1634071437&sr=8-7,b481058c-eebf-4abd-b77a-bfaeeec6b156
B09CLX9JB9,"EV GA GeForce RTX 3080 XC3 Black Gaming Video Card, 10G-P5-3881-KL, 10GB GDDR6X, iCX3 Cooling, ARGB LED, LHR ",1650.0,3.5,3,Only 9 left in stock - order soon.,https://www.amazon.com/GeForce-Gaming-10G-P5-3881-KL-GDDR6X-Cooling/dp/B09CLX9JB9/ref=sr_1_20?dchild=1&keywords=3090+Graphics+Card&qid=1634071438&sr=8-20,b481058c-eebf-4abd-b77a-bfaeeec6b156
B08WM28PVH,"EVGA GeForce RTX 3060 XC Gaming, 12G-P5-3657-KR, 12GB GDDR6, Dual-Fan, Metal Backplate ",Not available,4.5,349,out of stock,https://www.amazon.com/EVGA-GeForce-12G-P5-3657-KR-Dual-Fan-Backplate/dp/B08WM28PVH/ref=sr_1_4?dchild=1&keywords=3060+Graphics+Card&qid=1634071434&sr=8-4,f0185fd4-6724-454f-9258-49a5253af00d
B09622N253,"EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate ",Not available,4.6,187,out of stock,https://www.amazon.com/EVGA-GeForce-12G-P5-3967-KR-Technology-Backplate/dp/B09622N253/ref=sr_1_9?dchild=1&keywords=3080+Graphics+Card&qid=1634071437&sr=8-9,31956b7f-8691-454d-b809-2ce66ff91517
B0979GYMHP,EVGA GeForce RTX 3080 Ti XC3 U ,Not available,4.0,20,out of stock,https://www.amazon.com/EVGA-GeForce-RTX-3080-XC3/dp/B0979GYMHP/ref=sr_1_8?dchild=1&keywords=3080+Graphics+Card&qid=1634071437&sr=8-8,37274ea4-775b-43a8-bb3d-ac6eb936eb8b
B08CKL9K4Z,"Far Cry 6 Xbox Series X S, Xbox One Standard Edition ",59.99,3.7,16,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0784704163TQTZHG1DOD&url=%2FFar-Cry-6-Xbox-One%2Fdp%2FB08CKL9K4Z%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DXbox%2BSeries%2BX%26qid%3D1634071430%26sr%3D8-21-spons%26psc%3D1&qualifier=1634071430&id=6756399225256781&widgetName=sp_btf,4f972b5d-8ef6-4d8c-92e4-96e40336a6d2
B08PFX6PZ6,"GIGABYTE AMD Radeon RX 6800 XT Gaming OC 16G Graphics Card, 16GB of GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1, WINDFORCE 3X Cooling System, GV-R68XTGAMING OC-16GD ",Not available,4.4,20,out of stock,https://www.amazon.com/GIGABYTE-Graphics-Powered-WINDFORCE-GV-R68XTGAMING/dp/B08PFX6PZ6/ref=sr_1_5?dchild=1&keywords=radeon+rx+6800xt&qid=1634071441&sr=8-5,23161394-e147-449b-a612-d61612b7544b
