MicroCenter_Price,MicroCenter_SKU,MicroCenter_Model Number,MicroCenter_Link,UUID,Product_Image
1909.99,177923,24G-P5-3987-KR,https://www.microcenter.com/product/628738/evga-geforce-rtx-3090-ftw3-ultra-triple-fan-24gb-gddr6x-pcie-40-graphics-card,b6b56db1-9bc3-4db3-b5d7-c4af7a3cc2bb,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/628738_177923_01_package_thumbnail.jpg
529.99,297275,08G-P5-3667-KL,https://www.microcenter.com/product/639407/evga-nvidia-geforce-rtx-3060-ti-ftw3-ultra-gaming-lhr-triple-fan-8gb-gddr6-pcie-40-graphics-card,554f3b2f-9a7f-41cc-b09b-072ef18a33b4,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639407_297275_01_front_thumbnail.jpg
469.99,291583,08G-P5-3663-KL,https://www.microcenter.com/product/638989/evga-nvidia-geforce-rtx-3060-ti-xc-gaming-dual-fan-8gb-gddr6-pcie-40-graphics-card,4b491804-8ee3-4f73-adc7-5c610400df8d,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/638989_291583_01_front_thumbnail.jpg
409.99,240093,12G-P5-3657-KR,https://www.microcenter.com/product/634181/evga-nvidia-geforce-rtx-3060-xc-gaming-dual-fan-12gb-gddr6-pcie-40-graphics-card,f0185fd4-6724-454f-9258-49a5253af00d,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/634181_240093_01_packge_thumbnail.jpg
709.99,291567,08G-P5-3767-KL,https://www.microcenter.com/product/638988/evga-nvidia-geforce-rtx-3070-ftw3-ultra-gaming-triple-fan-8gb-gddr6-pcie-40-graphics-card,ea45437e-d6ce-49f0-842b-d71d93efc066,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/638988_291567_01_front_thumbnail.jpg
819.99,287342,08G-P5-3797-KL,https://www.microcenter.com/product/638611/evga-nvidia-geforce-rtx-3070-ti-ftw3-ultra-gaming-triple-fan-8gb-gddr6x-pcie-40-graphics-card,5d7d7b26-d49e-455f-b94f-178b5511f76d,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/638611_287342_01_front_thumbnail.jpg
909.99,294058,10G-P5-3897-KL,https://www.microcenter.com/product/639169/evga-nvidia-geforce-rtx-3080-ftw3-ultra-gaming-triple-fan-10gb-gddr6x-pcie-40-graphics-card,161d0cd1-1233-4bf8-b73e-496724546f70,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/639169_294058_01_front_thumbnail.jpg
1419.99,283739,12G-P5-3967-KR,https://www.microcenter.com/product/638317/evga-nvidia-geforce-rtx-3080-ti-ftw3-ultra-gaming-triple-fan-12gb-gddr6x-pcie-40-graphics-card,31956b7f-8691-454d-b809-2ce66ff91517,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/638317_283739_01_front_thumbnail.jpg
439.99,311902,GV-R66XTEAGLE-8,https://www.microcenter.com/product/640801/gigabyte-amd-radeon-rx-6600-xt-eagle-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card,01af5d8f-52de-43a1-8d48-59b398526e60,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/640801_311902_01_front_thumbnail.jpg
469.99,311894,GV-R66XTGAMING,https://www.microcenter.com/product/640593/gigabyte-amd-radeon-rx-6600-xt-gaming-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card,1e8cbf51-64ff-4cb7-9283-4a6a683757fd,https://90a1c75758623581b3f8-5c119c3de181c9857fcb2784776b17ef.ssl.cf2.rackcdn.com/640593_311894_01_front_thumbnail.jpg
