Adorama_SKU,Item Name,Price,Stock,Item URL,UUID
MSIG37TV3X8C,MSI NVIDIA GeForce RTX 3070 Ti VENTUS 3X OC 8GB GDDR6X Gaming Graphics Card,$899.99,Not in Stock,https://www.adorama.com/msig37tv3x8c.html,c2e10fbf-4ffa-437c-b9df-ec20df0f719d
MSIG38TGXT12,MSI NVIDIA GeForce RTX 3080 Ti Gaming X Trio 12GB GDDR6X Graphics Card,"$1,779.00",Not in Stock,https://www.adorama.com/msig38tgxt12.html,28272f83-405c-461f-b7e9-fa74b7ffd395
MSIR6800GX16,MSI Radeon RX 6800 Gaming X TRIO 16GB GDDR6 Graphics Card,"$1,224.99",Not in Stock,https://www.adorama.com/msir6800gx16.html,540985dc-9b9b-4fad-8f25-90d66b612fdb
XBRRS00001,Microsoft Series S Console,$299.99,Not in Stock,https://www.adorama.com/xbrrs00001.html,f6920bd1-e968-40d5-b3e1-0c3f9a18b747
XBRRT00001,Microsoft Series X Console,$499.99,Not in Stock,https://www.adorama.com/xbrrt00001.html,fa1711e7-d840-4f12-b066-b2b2113e3a92
EV08GP53667B,New Arrival - EVGA GeForce RTX 3060 Ti FTW3 8GB GDDR6 Gaming Graphics Card W/X17 Gaming Mouse,$599.99,Not in Stock,https://www.adorama.com/ev08gp53667b.html,229b28c4-cb19-44a7-96eb-f3627433d789
EV12GP5395KA,New Arrival - EVGA GeForce RTX 3080 Ti XC3 Ultra 12GB GDDR6X Gaming Graphics Card W/Keyboard,"$1,429.99",Not in Stock,https://www.adorama.com/ev12gp5395ka.html,37274ea4-775b-43a8-bb3d-ac6eb936eb8b
EV08G5375KLA,New Arrival - GeForce RTX 3070 XC3 Ultra 8GB GDDR6 Gaming Graphics Card With X17 Gaming Mouse,$734.98,Not in Stock,https://www.adorama.com/ev08g5375kla.html,34a27919-cef5-4dff-8e56-e7064bd81d1d
PNVC12DFXPPB,"PNY Technologies GeForce RTX 3060 12GB XLR8 Gaming RGB Graphics Card, Dual Fan",$499.99,Not in Stock,https://www.adorama.com/pnvc12dfxppb.html,c0d848e2-7bc4-4bd7-bf2c-ed66a34cb734
PNVCG8DFMPB,"PNY Technologies GeForce RTX 3060 Ti 8GB UPRISING Gaming Graphics Card, Dual Fan",$621.99,Not in Stock,https://www.adorama.com/pnvcg8dfmpb.html,45676ec4-bbdf-4087-9d04-70404c43e8dc
PNVCG8DFXPPB,PNY Technologies GeForce RTX 3060 Ti 8GB XLR8 Gaming EPIC-X RGB Graphics Card,$564.99,Not in Stock,https://www.adorama.com/pnvcg8dfxppb.html,9ab970c3-1916-4752-a247-45e2f9f543b2
PNG30708DFMB,"PNY Technologies GeForce RTX 3070 8GB Graphics Card, Dual Fan",$699.99,Not in Stock,https://www.adorama.com/png30708dfmb.html,75dda970-2750-4d38-ab2e-a6cf4487d744
PNV301TFXMPB,PNY Technologies GeForce RTX 3080 10GB EPIC-X RGB XLR8 Gaming Graphics Card,"$1,099.99",Not in Stock,https://www.adorama.com/pnv301tfxmpb.html,3023bf5d-5c9d-40e5-8305-203e1b44eb86
PNG30801TFXB,"PNY Technologies GeForce RTX 3080 10GB XLR8 EPIC-X RGB Graphics Card, Triple Fan",$949.99,Not in Stock,https://www.adorama.com/png30801tfxb.html,d934e563-2ed3-4942-b904-b9646305e50a
PNG309024TFB,"PNY Technologies GeForce RTX 3090 24GB XLR8 EPIC-X RGB Graphics Card, 2.7 Slot","$2,049.99",Not in Stock,https://www.adorama.com/png309024tfb.html,ea182b74-db67-41bc-b182-4a392bb79074
SO3005718,"Sony PlayStation 5 825GB Gaming Console, Standard Edition",$499.99,Not in Stock,https://www.adorama.com/so3005718.html,3a521b04-18f6-4148-9458-18b8ec447e10
ZTT20600F10M,ZOTAC GAMING GeForce RTX 2060 6GB GDDR6 Graphics Card with Dual-Fan,$450.00,Not in Stock,https://www.adorama.com/ztt20600f10m.html,3d3e6f09-61f6-4dbf-8c4e-78e51e4d6963
