BestBuy_Price,BestBuy_Status,BestBuy_Rating,BestBuy_Review,BestBuy_Model Number,BestBuy_SKU,BestBuy_Link,UUID
439.99,SOLD_OUT,0.0,0,GV-R66XTEAGLE-8GD ,6475154,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6600-xt-eagle-8gb-gddr6-pci-express-4-0-gaming-graphics-card/6475154.p?skuId=6475154,01af5d8f-52de-43a1-8d48-59b398526e60
469.99,SOLD_OUT,3.5,2,GV-R66XTGAMING OC-8GD ,6475153,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6600-xt-gaming-oc-8gb-gddr6-pci-express-4-0-gaming-graphics-card/6475153.p?skuId=6475153,1e8cbf51-64ff-4cb7-9283-4a6a683757fd
499.99,SOLD_OUT,5.0,2,GV-R66XTGAMINGOC PRO-8GD ,6475148,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6600-xt-gaming-oc-pro-8gb-gddr6-pci-express-4-0-gaming-graphics-card/6475148.p?skuId=6475148,8c7e5f3b-48a6-48ce-998d-a33bca7818a3
889.99,SOLD_OUT,4.3,23,GV-R67XTEAGLE-12GD ,6457994,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6700-xt-eagle-12gb-gddr6-pci-express-4-0-gaming-graphics-card/6457994.p?skuId=6457994,e45b79af-9843-4ead-bce9-da4de71fa8e8
959.99,SOLD_OUT,3.8,26,GV-R67XTGAMING OC-12GD ,6457993,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6700-xt-gaming-oc-12gb-gddr6-pci-express-4-0-gaming-graphics-card/6457993.p?skuId=6457993,715e8a2f-163e-4beb-9b84-136a14d721ce
1249.99,SOLD_OUT,4.8,6,GV-R68AORUS M-16GD ,6453894,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6800-aorus-master-16gb-gddr6-pci-express-4-0-graphics-card/6453894.p?skuId=6453894,282fcfad-85ec-42c7-86be-ed3d24dd630c
1179.99,SOLD_OUT,4.6,24,GV-R68GAMING OC-16GD ,6453897,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6800-gaming-oc-16gb-gddr6-pci-express-4-0-graphics-card/6453897.p?skuId=6453897,23161394-e147-449b-a612-d61612b7544b
1419.99,SOLD_OUT,5.0,3,GV-R68XTAORUS M-16GD ,6453895,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6800-xt-aorus-master-16gb-gddr6-pci-express-4-0-graphics-card/6453895.p?skuId=6453895,bb80bf34-3379-4c11-a6d5-fd026d04a6d8
1319.99,SOLD_OUT,4.2,13,GV-R68XTGAMING OC-16GD ,6453896,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6800-xt-gaming-oc-16gb-gddr6-pci-express-4-0-graphics-card/6453896.p?skuId=6453896,9f99669a-6530-46f4-8e3c-ffa8454bcf57
2059.99,SOLD_OUT,5.0,4,GV-R69XTGAMING OC-16GD ,6468934,https://www.bestbuy.com/site/gigabyte-amd-radeon-rx-6900-xt-16g-gaming-oc-gddr6-pci-express-4-0-graphics-card-black/6468934.p?skuId=6468934,b5cf595e-5931-4edf-9b8b-dade76852c2c
2149.99,SOLD_OUT,5.0,3,GV-N3090EAGLE OC-24GD ,6430624,https://www.bestbuy.com/site/gigabyte-geforce-rtx-3090-eagle-oc-24g-gddr6x-pci-express-4-0-graphics-card-black/6430624.p?skuId=6430624,314fee2b-df3a-4075-b484-72930f0ab653
109.99,ADD_TO_CART,4.2,11,GV-N1030D4-2GL ,6468926,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-gt-1030-2gb-gddr4-pci-express-3-0-graphics-card/6468926.p?skuId=6468926,850f9629-cdbe-4a8f-9546-b3ca96e0a8db
84.49,SOLD_OUT,4.1,16,GV-N1030D5-2GL ,6409183,https://www.bestbuy.com/site/gigabyte-nvidia-geforce-gt-1030-2gb-gddr5-pci-express-3-0-graphics-card-black/6409183.p?skuId=6409183,121884b6-b819-4c4a-ac03-b1d43b250998
