UUID,10/16/2021,10/17/2021,10/18/2021,10/19/2021,10/20/2021,10/21/2021,10/22/21,10/23/21,10/24/21,10/25/21,10/26/21,10/28/21
0d0da157-c7cb-4865-bab9-f28f3c7742f3,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
e005c9ac-98cb-4004-a463-96ea6974a181,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
b53d3e71-a46f-4236-8c4e-4f6804cdb7c3,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
775c4aaa-9e71-45b1-9b93-6f8bec6da59e,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
3322e8a2-353c-4fb2-b908-5bd51f01d491,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
f6920bd1-e968-40d5-b3e1-0c3f9a18b747,na,na,na,na,na,na,na,na,na,na,Only 10 left in stock - order soon.,Only 10 left in stock - order soon.
fa1711e7-d840-4f12-b066-b2b2113e3a92,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
32e10a67-64f2-4865-b1f9-0b2bb7599a23,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
8cbf6b1f-1a9a-459b-880c-1cb84b549a16,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
6b8b973d-4591-45b2-8e8c-9cad625dc117,na,na,na,na,na,na,na,na,na,na,Only 2 left in stock - order soon.,Only 2 left in stock - order soon.
881ec1e0-8d91-4726-b10a-f4c4d4391785,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
8ea422f7-af0b-460f-a91b-408b8f68a8bd,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
2749900c-9188-49e1-aed5-fb77a29cb86e,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
a262bde6-0c27-440a-8425-c3fc9b888bd1,na,na,na,na,na,na,na,na,na,na,Only 4 left in stock - order soon.,Only 4 left in stock - order soon.
be15fb8a-5499-4b58-a000-4cc2ce36bcee,na,na,na,na,na,na,na,na,na,na,out of stock,out of stock
e3ce059e-9e14-4f59-869d-ad65ce3b171b,na,na,na,na,na,na,na,na,na,na,Only 1 left in stock - order soon.,Only 1 left in stock - order soon.
