Sku,Price,Stock,Review,Number_of_Reviews
SMAPPRPXHD,"$1,623.95",Special Order,0.0,0
XFX69XTACBD9,"$1,699.99",More on the Way,5.0,4
XFR69XTACUD9,"$1,699.99",Waiting List Only,0.0,0
SA100505852,"$1,717.95",Special Order,0.0,0
MA9188E2048F,"$1,799.00",Special Order,0.0,0
DAIDP4PDVI,"$1,860.00",Special Order,0.0,0
DAIDP4PHDMI,"$1,860.00",Special Order,0.0,0
DAIMAGE2K,"$1,860.00",Special Order,0.0,0
MSR6900XTGXT,"$1,934.99",More on the Way,0.0,0
AMRPWX91016,"$1,999.00",Back-Ordered,5.0,5
ZOGGR3090TO,"$2,199.99",Waiting List Only,5.0,1
ASTR3090O24G,"$2,199.99",Waiting List Only,5.0,6
ASR3090O24GG,"$2,229.99",Waiting List Only,4.5,4
HE5JV89AA,"$2,298.95",Special Order,4.0,2
ASRT3090O8GW,"$2,349.99",Waiting List Only,0.0,0
MSR3090SPX24,"$2,389.99",Waiting List Only,0.0,0
AMRPVII,"$2,499.00",Back-Ordered,5.0,4
PNQRTX5000,"$2,499.00",Special Order,0.0,0
PNNRA5000,"$2,599.00",More on the Way,0.0,0
APMW672AMA,"$2,800.00",Special Order,0.0,0
AMFS10000,"$3,299.95",Special Order,0.0,0
AMFS10000MD,"$3,300.00",Special Order,0.0,0
PNNQ5200S8GB,"$3,399.00",Special Order,0.0,0
PNK5000,"$3,399.00",Special Order,0.0,0
DAIMAGE4K,"$3,720.00",Special Order,0.0,0
PNQK6000,"$4,399.99",Special Order,5.0,6
HE5JH81AA,"$4,599.00",Special Order,0.0,0
PNVCQ6000PB,"$4,599.99",Special Order,0.0,0
PNQRTX6000GC,"$4,999.00",In Stock,0.0,0
PNVCQK4000SP,"$5,249.00",Special Order,0.0,0
HERTX8000,"$5,472.52",In Stock,5.0,2
PNNDQ52KQ16G,"$5,898.00",Special Order,0.0,0
PNNQ52008GB,"$5,999.00",Special Order,0.0,0
PNQK5000BK,"$5,999.00",Special Order,0.0,0
HE1ZE81AT,"$6,799.55",Special Order,4.0,2
PNNK6000SYNC,"$6,898.00",Special Order,0.0,0
PNRTXA6000SB,"$6,999.00",In Stock,3.0,2
PNRTXA6000SY,"$7,399.99",In Stock,0.0,0
PNNQ4200IO4G,"$8,249.00",Special Order,0.0,0
PNVCQK4000S,"$8,249.00",Special Order,0.0,0
HE5JH80AA,"$8,899.00",Special Order,5.0,1
PNQRTX8000PB,"$8,899.00",Special Order,0.0,0
PNVCQGP100PB,"$8,899.00",Special Order,4.0,2
PNNQ5200IO8G,"$8,999.00",Special Order,0.0,0
PNVCQK5000S,"$8,999.00",Special Order,0.0,0
PNVCQ5000SDI,"$8,999.00",Special Order,0.0,0
PNNK6000PB,"$9,998.00",Special Order,5.0,6
PNVCQGV100PB,"$10,560.00",Special Order,4.0,1
HE3ME26AT,"$11,999.00",Special Order,4.0,1
PNNDQ6KQS24G,"$12,897.00",Special Order,0.0,0
PNNK6000IO,"$12,998.00",Special Order,5.0,6
