Name,price,rating,number_of_reviews,stock,url
Far Cry 6 PlayStation 5 Standard Edition ,59.88,4.1 out of 5 stars,12,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A078421214HAFPXUJKQQR&url=%2FFar-Cry-6-PlayStation-5-Standard%2Fdp%2FB08FS6BB8W%2Fref%3Dsr_1_9_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1634064924%26sr%3D8-9-spons%26psc%3D1&qualifier=1634064924&id=8865292638937371&widgetName=sp_mtf
Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 256 GB ,399.0,4.7 out of 5 stars,"1,497",out of stock,https://www.amazon.com/Oculus-Quest-Advanced-All-One-Virtual/dp/B09B8DQ26F/ref=sr_1_10?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-10
Ghost of Tsushima Director's Cut - PlayStation 5 ,69.99,4.9 out of 5 stars,230,out of stock,https://www.amazon.com/Ghost-Tsushima-Directors-Cut-PlayStation-5/dp/B098G34GBT/ref=sr_1_11?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-11
"PS5 Controller Charger Station, PS5 Charging Station with Fast Charging AC Adapter 5V/3A, Playstation 5 Dual Controller Charging Stand, OIVO Docking Station Replacement for DualSense Charging Station ",21.99,4.7 out of 5 stars,"2,024",out of stock,https://www.amazon.com/OIVO-Controller-Compatible-Playstation-Indicators/dp/B08LZGPPBH/ref=sr_1_12?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-12
Stranger of Paradise Final Fantasy Origin - PlayStation 5 ,59.99,,no reviews,out of stock,https://www.amazon.com/Stranger-Paradise-Final-Fantasy-Origin-PlayStation/dp/B09HFQVN75/ref=sr_1_13?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-13
"2020 Oculus Quest 2 All-in-One VR Headset, 256GB SSD, Glasses Compitble, 3D Audio, Mytrix Carrying Case, Oculus Link Cable (10 Ft), Grip Cover, Lens Cover ",649.99,5.0 out of 5 stars,2,Only 10 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00539671T8QXFOEVJVGA&url=%2FOculus-Headset-Glasses-Compitble-Carrying%2Fdp%2FB08V3W12LX%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1634064924%26sr%3D8-14-spons%26psc%3D1&qualifier=1634064924&id=8865292638937371&widgetName=sp_mtf
Lost Judgment - PlayStation 5 ,59.5,4.9 out of 5 stars,20,out of stock,https://www.amazon.com/Lost-Judgment-PlayStation-5/dp/B094F4RX8H/ref=sr_1_15?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-15
Gran Turismo 7 Launch Edition - PlayStation 5 - PlayStation 5 ,69.99,,no reviews,out of stock,https://www.amazon.com/Gran-Turismo-Launch-PlayStation-5/dp/B09GSP5GS7/ref=sr_1_16?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-16
NHL 22 - PlayStation 5 ,69.99,,no reviews,out of stock,https://www.amazon.com/NHL-22-PlayStation-5/dp/B09D1Z3TND/ref=sr_1_17?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-17
Sony PULSE 3D Wireless Headset ,95.96,4.7 out of 5 stars,"9,612",out of stock,https://www.amazon.com/PULSE-3D-Wireless-Headset-PlayStation-5/dp/B08FC6QLKN/ref=sr_1_18?dchild=1&keywords=Playstation+5&qid=1634064924&sr=8-18
KontrolFreek FPS Freek Battle Royale Nightfall for PlayStation 4 (PS4) and PlayStation 5 (PS5) | Performance Thumbsticks | 2 High-Rise Convex Black ,16.99,4.4 out of 5 stars,"2,493",out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00579213PVRJ65H526VP&url=%2FKontrolFreek-Nightfall-PlayStation-Controller-Performance-Thumbsticks%2Fdp%2FB07N4C9YNM%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1634064924%26sr%3D8-19-spons%26psc%3D1%26smid%3DA1XOCBC637EZ46&qualifier=1634064924&id=8865292638937371&widgetName=sp_btf
