Name,price,rating,number_of_reviews,stock,url
MSI Ventus 3X GeForce RTX 3090 OC Graphics Card 24GB GDRR6X PCIe 4.0 x 16 Nvlink Torx Fan 3.0 Ray Tracing Ampere Architecture DLSS AI Acceleration 3X DisplayPort 1x HDMI 2.1 8K w/ Mytrix_HDMI Cable ,3649.99,3.0 out of 5 stars,2,Only 4 left in stock - order soon.,https://www.amazon.com/Graphics-Architecture-Acceleration-DisplayPort-Mytrix_HDMI/dp/B09CHC18N9/ref=sr_1_6?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-6
MSI GeForce RTX 3090 Trio DirectX 12 Graphics Card 24GB 384-Bit GDDR6X PCIe 4.0 HDCP Ready Tri-Frozr 2 Ampere Architecture DisplayPort x 3 (v1.4a) / HDMI 2.1 x 1 w/ Mytrix HDMI Cable ,Not available,3.7 out of 5 stars,6,out of stock,https://www.amazon.com/GeForce-Graphics-Tri-Frozr-Architecture-DisplayPort/dp/B097YZFT5K/ref=sr_1_7?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-7
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr 2 Ampere Architecture OC Graphics Card (RTX 3090 GAMING X TRIO 24G) (Renewed) ,2807.65,1.0 out of 5 stars,1,Only 7 left in stock - order soon.,https://www.amazon.com/MSI-GeForce-Tri-Frozr-Architecture-Graphics/dp/B095M8QCNL/ref=sr_1_8?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-8
"ASUS TUF Gaming NVIDIA GeForce RTX 3090 OC Edition Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings ",Not available,4.5 out of 5 stars,89,out of stock,https://www.amazon.com/ASUS-GeForce-Graphics-DisplayPort-Bearings/dp/B08HJGNJ81/ref=sr_1_9?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-9
MSI Gaming X Trio GeForce RTX 3070 Ti OC Graphics Card 8GB GDRR6X 256-Bit PCIe 4.0 x16 Triple-Fan TRI FROZR 2 Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix_ HDMI Cable ,1649.99,1.0 out of 5 stars,1,Only 4 left in stock - order soon.,https://www.amazon.com/GeForce-Graphics-Triple-Fan-Architecture-DisplayPort/dp/B09D17W92Y/ref=sr_1_10?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-10
"ZOTAC Gaming GeForce RTX 3090 Trinity OC Graphics Card 24GB GDDR6X 384-bit PCIE 4.0, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, 3X DisplayPort 1.4a, 1x HDMI 2.1 w/ Mytrix_HDMI Cable ",3199.99,1.0 out of 5 stars,2,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0816423111J0OGIECSZI&url=%2FGraphics-IceStorm-Advanced-DisplayPort-Mytrix_HDMI%2Fdp%2FB09F3W8DM8%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3D3090%2BGraphics%2BCard%26qid%3D1634064929%26sr%3D8-11-spons%26psc%3D1&qualifier=1634064929&id=792815206884448&widgetName=sp_mtf
"GIGABYTE AORUS GeForce RTX 3090 Xtreme WATERFORCE WB 24G Graphics Card, WATERFORCE Water Block Cooling System, 24GB 384-bit GDDR6X, GV-N3090AORUSX WB-24GD Video Card ",3345.99,3.4 out of 5 stars,3,Only 2 left in stock - order soon.,https://www.amazon.com/GIGABYTE-GeForce-WATERFORCE-Graphics-GV-N3090AORUSX/dp/B08R5J94WP/ref=sr_1_12?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-12
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3090 VENTUS 3X 24G OC) ,Not available,4.4 out of 5 stars,156,out of stock,https://www.amazon.com/MSI-GeForce-RTX-3090-VENTUS/dp/B08HR9D2JS/ref=sr_1_13?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-13
MSI Ventus 3X GeForce RTX 3090 OC Graphics Card 24GB GDRR6X PCIe 4.0 x 16 Ray Tracing Ampere Architecture DLSS AI Acceleration 3X DisplayPort 1x HDMI 2.1 8K w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,Not available,no ratings,no reviews,out of stock,https://www.amazon.com/Graphics-Architecture-Acceleration-DisplayPort-Mytrix_HDMI/dp/B09CHF6R2Y/ref=sr_1_14?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-14
"GIGABYTE AORUS GeForce RTX 3090 Xtreme WATERFORCE 24G Graphics Card, WATERFORCE All-in-One Cooling System, 24GB 384-bit GDDR6X, GV-N3090AORUSX W-24GD Video Card ",3138.99,4.7 out of 5 stars,4,Only 1 left in stock - order soon.,https://www.amazon.com/GIGABYTE-GeForce-WATERFORCE-Graphics-GV-N3090AORUSX/dp/B08R5D3374/ref=sr_1_15?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-15
"MSI Gaming GeForce RTX 3080 Ti OC Gaming Trio X Graphics Card, 12GB GDRR6X 320-Bit PCIe 4.0, Torx Fan 4.0 Ampere Architecture, DisplayPort x 3 (v1.4) HDMI x 1 w/ Mytrix_HDMI Cable ",2299.99,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0720425318KWOOW4LQFG&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GPTQS7S%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3D3090%2BGraphics%2BCard%26qid%3D1634064929%26sr%3D8-16-spons%26psc%3D1&qualifier=1634064929&id=792815206884448&widgetName=sp_mtf
"ZOTAC Gaming GeForce RTX 3090 Trinity OC 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30900J-10P ",Not available,4.2 out of 5 stars,22,out of stock,https://www.amazon.com/ZOTAC-Graphics-IceStorm-Advanced-ZT-A30900J-10P/dp/B08ZL6XD9H/ref=sr_1_17?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-17
"ZOTAC Gaming GeForce RTX 3080 Ti AMP Holo 12GB GDDR6X 384-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, Spectra 2.0 RGB Lighting, ZT-A30810F-10P ",2065.0,3.9 out of 5 stars,20,Only 4 left in stock - order soon.,https://www.amazon.com/ZOTAC-Graphics-HoloBlack-IceStorm-ZT-A30810F-10P/dp/B08V1ZWGVR/ref=sr_1_18?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-18
"GIGABYTE AORUS GeForce RTX 3080 Ti Master 12G Graphics Card, Max Covered Cooling, 12GB 384-bit GDDR6X, GV-N308TAORUS M-12GD Video Card ",Not available,3.0 out of 5 stars,2,out of stock,https://www.amazon.com/Fashion-Carpet-Anti-Skid-Bedroom-Kitchen/dp/B083HZG3HK/ref=sr_1_19?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-19
"GIGABYTE AORUS GeForce RTX 3080 Ti Xtreme 10G Graphics Card, Max Covered Cooling, 12GB 384-bit GDDR6X, GV-N308TAORUS X-12GD Video Card ",2388.99,3.1 out of 5 stars,3,Only 1 left in stock - order soon.,https://www.amazon.com/Ladybugs-Colors-Anti-Skid-Bedroom-Kitchen/dp/B083HZFK45/ref=sr_1_20?dchild=1&keywords=3090+Graphics+Card&qid=1634064929&sr=8-20
MSI Gaming GeForce RTX 3080 OC Ventus 3X LHR Graphics Card 10GB GDRR6X 320-Bit PCI Express 4.0 x16 Torx Fan 3 Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix HDMI Cable ,1849.99,,no reviews,Only 7 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A072680826NRT0XEMLPLF&url=%2FGeForce-Graphics-320-Bit-Architecture-DisplayPort%2Fdp%2FB09F3W9RZK%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3D3090%2BGraphics%2BCard%26qid%3D1634064929%26sr%3D8-21-spons%26psc%3D1&qualifier=1634064929&id=792815206884448&widgetName=sp_btf
"GIGABYTE AORUS GeForce RTX 3090 Xtreme Graphics Card, 24GB 384-bit GDDR6X, PCIe 4.0 x16, Max Covered Cooling, Vapor Chamber & Heat Pipe, 3 x DisplayPort 1.4a 3X HDMI w/ Mytrix_HDMI Cable ",3449.99,,no reviews,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A000439910JA5OS3TLCPR&url=%2FGIGABYTE-GeForce-Graphics-DisplayPort-Mytrix_HDMI%2Fdp%2FB09BZYT9BT%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3D3090%2BGraphics%2BCard%26qid%3D1634064929%26sr%3D8-22-spons%26psc%3D1&qualifier=1634064929&id=792815206884448&widgetName=sp_btf
ASRock Radeon RX 6900 XT Phantom Gaming D OC Graphics Card 16GB GDDR6 PCIe 4.0 AMD RDNA2 Triple Fan Polychrome SYNC 3X DisplayPort 1.4a DSC 1x HDMI 2.1VRR w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,2079.99,3.2 out of 5 stars,7,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01968767QFB4R224PK3&url=%2FASRock-Phantom-Graphics-Polychrome-DisplayPort%2Fdp%2FB093NBMV17%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DRadeon%2BRX%2B6900%2BXT%26qid%3D1634064930%26sr%3D8-1-spons%26psc%3D1&qualifier=1634064930&id=3383337948062289&widgetName=sp_atf
"MSI Gaming GeForce RTX 3080 Ti OC Gaming Trio X Graphics Card, 12GB GDRR6X 320-Bit PCIe 4.0, Torx Fan 4.0 Ampere Architecture, DisplayPort x3 (v1.4) HDMI x1 w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ",2299.99,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07205811G2O2PR6C5XG7&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GPX5SQJ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DRadeon%2BRX%2B6900%2BXT%26qid%3D1634064930%26sr%3D8-2-spons%26psc%3D1&qualifier=1634064930&id=3383337948062289&widgetName=sp_atf
"XFX Speedster MERC319 AMD Radeon RX 6900 XT Black Gaming Graphics Card with 16GB GDDR6, HDMI 2,1, 2xDP, USB-C, AMD RDNA 2 RX-69XTACBD9 ",1699.99,4.1 out of 5 stars,59,out of stock,https://www.amazon.com/XFX-Speedster-MERC319-Graphics-RX-69XTACBD9/dp/B08SVZNFWR/ref=sr_1_3?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-3
Sapphire Technology Nitro+ AMD Radeon RX 6900 XT Special Edition PCIe 4.0 Gaming Graphics Card with 16GB GDDR6 (11308-03-20G) ,1849.0,4.5 out of 5 stars,12,out of stock,https://www.amazon.com/Sapphire-Technology-Special-Graphics-11308-03-20G/dp/B094DYSQQL/ref=sr_1_4?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-4
"GIGABYTE AORUS Radeon RX 6900 XT Master 16G Graphics Card, MAX-Covered Cooling, 16GB 256-bit GDDR6, GV-R69XTAORUS M-16GD Video Card ",2009.0,no ratings,no reviews,Only 7 left in stock - order soon.,https://www.amazon.com/GIGABYTE-Graphics-MAX-Covered-GV-R69XTAORUS-M-16GD/dp/B083HZ3M1X/ref=sr_1_5?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-5
"PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1 ",1799.99,3.8 out of 5 stars,19,out of stock,https://www.amazon.com/PowerColor-Radeon-Ultimate-Graphics-Powered/dp/B09258PCFS/ref=sr_1_6?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-6
MSI Gaming Radeon RX 6900 XT Gaming Z Trio 16G 16GB GDDR6 256-Bit HDMI/DP Nvlink Torx Fan 4 AMD Graphics Card (RX 6900 XT Gaming Z Trio 16G) ,1899.99,4.0 out of 5 stars,1,out of stock,https://www.amazon.com/MSI-Radeon-RX-6900-16G/dp/B096M7NPNP/ref=sr_1_7?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-7
"PowerColor Red Devil AMD Radeon RX 6900 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache ",1749.99,4.2 out of 5 stars,66,out of stock,https://www.amazon.com/PowerColor-Graphics-Powered-Raytracing-Infinity/dp/B08Q2R71CS/ref=sr_1_8?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-8
"PowerColor Liquid Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1 ",2299.99,3.3 out of 5 stars,3,out of stock,https://www.amazon.com/PowerColor-Liquid-Ultimate-Graphics-Powered/dp/B09257F463/ref=sr_1_9?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-9
"GIGABYTE AORUS Radeon RX 6900 XT Xtreme WATERFORCE WB 16G Graphics Card, WATERFORCE Water Block Cooling System, 16GB 256-bit GDDR6, GV-R69XTAORUSX WB-16GD Video Card ",2259.99,3.9 out of 5 stars,4,out of stock,https://www.amazon.com/GIGABYTE-WATERFORCE-Graphics-GV-R69XTAORUSX-WB-16GD/dp/B097FYBRXH/ref=sr_1_10?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-10
MSI Gaming GeForce RTX 3080 OC Ventus 3X LHR Graphics Card 10GB GDRR6X 320-Bit PCI Express 4.0 x16 Torx Fan 3 Ampere Architecture 1x HDMI 2.1 3X DisplayPort 1.4a w/ Mytrix HDMI Cable ,1849.99,,no reviews,Only 7 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A072680826NRT0XEMLPLF&url=%2FGeForce-Graphics-320-Bit-Architecture-DisplayPort%2Fdp%2FB09F3W9RZK%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3DRadeon%2BRX%2B6900%2BXT%26qid%3D1634064930%26sr%3D8-11-spons%26psc%3D1&qualifier=1634064930&id=3383337948062289&widgetName=sp_mtf
"ASUS ROG Strix LC AMD Radeon RX 6900 XT TOP Edition Gaming Graphics Card (AMD RDNA 2, PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Full-coverage cold plate, 240mm radiator, 600mm tubing) ",2196.41,4.6 out of 5 stars,3,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Full-coverage-radiator/dp/B0966YJGLT/ref=sr_1_12?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-12
MSI Gaming Radeon RX 6900 XT Boost Clock Up to 2340 MHz 256-bit 16GB GDDR6 DP/HDMI Triple Torx 4.0 Fans FreeSync DirectX 12 VR Ready RGB Graphics Card (RX 6900 XT Gaming X Trio 16G) ,2089.0,3.7 out of 5 stars,11,out of stock,https://www.amazon.com/MSI-Gaming-6900-Trio-16G/dp/B08W2GPR62/ref=sr_1_13?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-13
"ASUS ROG Strix LC AMD Radeon RX 6900 XT TOP Edition Gaming Graphics Card AMD RDNA 2, PCIe 4.0, 16GB GDDR6 (Renewed) ",Not available,no ratings,no reviews,out of stock,https://www.amazon.com/ASUS-Radeon-Gaming-Graphics-Renewed/dp/B098PHHKSY/ref=sr_1_14?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-14
"ASUS ROG Strix LC AMD Radeon RX 6900 XT OC Edition Gaming Graphics Card (PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Full-Coverage Cold Plate, 240mm Radiator, 600mm tubing, GPU Tweak II) ",2379.0,3.9 out of 5 stars,11,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Full-Coverage-Radiator/dp/B08S6Z2HGW/ref=sr_1_15?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-15
"MSI Gaming GeForce RTX 3080 Ti OC Gaming Trio X Graphics Card, 12GB GDRR6X 320-Bit PCIe 4.0, Torx Fan 4.0 Ampere Architecture, DisplayPort x 3 (v1.4) HDMI x 1 w/ Mytrix_HDMI Cable ",2299.99,,no reviews,Only 5 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0720425318KWOOW4LQFG&url=%2FGeForce-Graphics-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GPTQS7S%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3DRadeon%2BRX%2B6900%2BXT%26qid%3D1634064930%26sr%3D8-16-spons%26psc%3D1&qualifier=1634064930&id=3383337948062289&widgetName=sp_mtf
ASRock Radeon RX 6900 XT Phantom Gaming D OC Graphics Card 16GB GDDR6 PCIe 4.0 AMD RDNA2 Triple Fan Polychrome SYNC 3X DisplayPort 1.4a DSC 1x HDMI 2.1VRR w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,2079.99,3.2 out of 5 stars,7,Only 1 left in stock - order soon.,https://www.amazon.com/ASRock-Phantom-Graphics-Polychrome-DisplayPort/dp/B093NBMV17/ref=sr_1_17?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-17
"GIGABYTE Radeon RX 6900 XT Gaming OC 16G Graphics Card, WINDFORCE 3X Cooling System, 16GB 256-bit GDDR6, GV-R69XTGAMING OC-16GD Video Card ",2049.0,,no reviews,Only 1 left in stock - order soon.,https://www.amazon.com/GIGABYTE-Graphics-WINDFORCE-GV-R69XTGAMING-OC-16GD/dp/B08ZFYDH66/ref=sr_1_18?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-18
"XFX Speedster MERC319 AMD Radeon RX 6900 XT Black Gaming Graphics Card with 16GB GDDR6, HDMI 2,1, 2xDP, USB-C, AMD RDNA 2 RX-69XTACBD9 (Renewed) ",Not available,no ratings,no reviews,out of stock,https://www.amazon.com/XFX-Speedster-MERC319-Graphics-RX-69XTACBD9/dp/B097YWV6VP/ref=sr_1_19?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-19
"ASUS TUF Gaming AMD Radeon RX 6900 XT OC Edition Graphics Card (PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, All-Aluminum Shroud, Reinforced Frame, GPU Tweak II) ",Not available,4.8 out of 5 stars,14,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-All-Aluminum-Reinforced/dp/B08R81J62G/ref=sr_1_20?dchild=1&keywords=Radeon+RX+6900+XT&qid=1634064930&sr=8-20
"MSI Radeon RX 6800 Trio OC DirectX 12 Ultimate Graphics Card, 16GB 256-Bit GDDR6, PCI Express 4.0, HDCP Ready, RDNA 2 Architecture, DisplayPort x 3 (v1.4a) / HDMI 2.1 x 1 w/ Mytrix HDMI Cable ",2049.99,3.2 out of 5 stars,3,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A084393931JFSTLWUE5P7&url=%2FDirectX-Ultimate-Graphics-Architecture-DisplayPort%2Fdp%2FB08T6JZDNY%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DRadeon%2BRX%2B6900%2BXT%26qid%3D1634064930%26sr%3D8-21-spons%26psc%3D1&qualifier=1634064930&id=3383337948062289&widgetName=sp_btf
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3x DisplayPort 1.4a w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,949.99,4.6 out of 5 stars,5,Only 7 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0975377GW3UW3UOTTA&url=%2FGraphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GHZGD5X%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DRadeon%2BRX%2B6900%2BXT%26qid%3D1634064930%26sr%3D8-22-spons%26psc%3D1&qualifier=1634064930&id=3383337948062289&widgetName=sp_btf
"MSI Radeon RX 6800 Trio OC DirectX 12 Ultimate Graphics Card, 16GB 256-Bit GDDR6, PCI Express 4.0, HDCP Ready, RDNA 2 Architecture, DisplayPort x 3 (v1.4a) / HDMI 2.1 x 1 w/ Mytrix HDMI Cable ",2049.99,3.2 out of 5 stars,3,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A084393931JFSTLWUE5P7&url=%2FDirectX-Ultimate-Graphics-Architecture-DisplayPort%2Fdp%2FB08T6JZDNY%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dradeon%2Brx%2B6800xt%26qid%3D1634064932%26sr%3D8-1-spons%26psc%3D1&qualifier=1634064932&id=7001399150690833&widgetName=sp_atf
"ASUS TUF Gaming AMD Radeon RX 6800 XT OC Edition Graphics Card (PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, All-Aluminum Shroud, Reinforced Frame, GPU Tweak II) ",1646.95,4.1 out of 5 stars,12,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-All-Aluminum-Reinforced/dp/B08P3ZN62G/ref=sr_1_2?dchild=1&keywords=radeon+rx+6800xt&qid=1634064932&sr=8-2
"PowerColor Red Devil AMD Radeon RX 6800 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache ",1489.99,4.3 out of 5 stars,67,out of stock,https://www.amazon.com/PowerColor-Graphics-Powered-Raytracing-Infinity/dp/B08T9H18TJ/ref=sr_1_3?dchild=1&keywords=radeon+rx+6800xt&qid=1634064932&sr=8-3
"GIGABYTE AMD Radeon RX 6800 XT Gaming OC 16G Graphics Card, 16GB of GDDR6 Memory, Powered by AMD RDNA 2, HDMI 2.1, WINDFORCE 3X Cooling System, GV-R68XTGAMING OC-16GD ",Not available,4.4 out of 5 stars,20,out of stock,https://www.amazon.com/GIGABYTE-Graphics-Powered-WINDFORCE-GV-R68XTGAMING/dp/B08PFX6PZ6/ref=sr_1_4?dchild=1&keywords=radeon+rx+6800xt&qid=1634064932&sr=8-4
XFX Speedster MERC319 AMD Radeon RX 6800 XT CORE Gaming Graphics Card with 16GB GDDR6 HDMI 3xDP RX-68XTALFD9 ,1499.99,4.1 out of 5 stars,39,out of stock,https://www.amazon.com/XFX-Speedster-MERC319-Graphics-RX-68XTALFD9/dp/B08TJ2BHCQ/ref=sr_1_5?dchild=1&keywords=radeon+rx+6800xt&qid=1634064932&sr=8-5
"ASUS ROG Strix LC AMD Radeon RX 6800 XT OC Edition Gaming Graphics Card ( PCIe 4.0, 16GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Full-Coverage Cold Plate, 240mm Radiator, 600mm tubing, GPU Tweak II) ",1899.99,4.7 out of 5 stars,5,Only 1 left in stock - order soon.,https://www.amazon.com/ASUS-Graphics-DisplayPort-Full-Coverage-Radiator/dp/B08NWHKGS9/ref=sr_1_6?dchild=1&keywords=radeon+rx+6800xt&qid=1634064932&sr=8-6
"PowerColor Red Dragon AMD Radeon RX 6800 Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache ",Not available,4.3 out of 5 stars,40,out of stock,https://www.amazon.com/PowerColor-Graphics-Powered-Raytracing-Infinity/dp/B08P2C8XXH/ref=sr_1_7?dchild=1&keywords=radeon+rx+6800xt&qid=1634064932&sr=8-7
ASRock AMD Radeon RX 6800 Phantom Gaming D Overclocked Graphics Card 16GB GDDR6 PCI Express 4.0 x16 AMD RDNA 2 Polychrome SYNC 1x HDMI 2.1 VRR 3X DisplayPort 1.4 with DSC w/ Mytrix HDMI Cable ,Not available,3.0 out of 5 stars,6,out of stock,https://www.amazon.com/Phantom-Overclocked-Graphics-Polychrome-DisplayPort/dp/B092DVPC77/ref=sr_1_8?dchild=1&keywords=radeon+rx+6800xt&qid=1634064932&sr=8-8
XFX Speedster MERC319 Radeon RX 6800XT Black 16GB GDDR6 HDMI DisplayPort USB-C PCIe 4.0 Gaming Graphics Card RX-68XTACBD9 ,Not available,4.7 out of 5 stars,70,out of stock,https://www.amazon.com/XFX-Speedster-DisplayPort-Graphics-RX-68XTACBD9/dp/B08NX14LV1/ref=sr_1_9?dchild=1&keywords=radeon+rx+6800xt&qid=1634064932&sr=8-9
ASRock Radeon RX 6900 XT Phantom Gaming D OC Graphics Card 16GB GDDR6 PCIe 4.0 AMD RDNA2 Triple Fan Polychrome SYNC 3X DisplayPort 1.4a DSC 1x HDMI 2.1VRR w/ Mytrix HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,2079.99,3.2 out of 5 stars,7,Only 1 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A069995726V30QZ7F3H8D&url=%2FASRock-Phantom-Graphics-Polychrome-DisplayPort%2Fdp%2FB093NBMV17%2Fref%3Dsr_1_10_sspa%3Fdchild%3D1%26keywords%3Dradeon%2Brx%2B6800xt%26qid%3D1634064932%26sr%3D8-10-spons%26psc%3D1&qualifier=1634064932&id=7001399150690833&widgetName=sp_mtf
"PowerColor Red Dragon AMD Radeon RX 6800 XT Gaming Graphics Card with 16GB GDDR6 Memory, Powered by AMD RDNA 2, Raytracing, PCI Express 4.0, HDMI 2.1, AMD Infinity Cache ",Not available,4.5 out of 5 stars,14,out of stock,https://www.amazon.com/PowerColor-Graphics-Powered-Raytracing-Infinity/dp/B08V1WK4LB/ref=sr_1_11?dchild=1&keywords=radeon+rx+6800xt&qid=1634064932&sr=8-11
