MicroCenter_Name,MicroCenter_Price,MicroCenter_SKU,MicroCenter_Model Number,MicroCenter_Link
ASUS NVIDIA GeForce RTX 3060 TUF Gaming V2 Overclocked Triple-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,509.99,294991,TUFRTX3060O12V2,https://www.microcenter.com/product/639242/asus-nvidia-geforce-rtx-3060-tuf-gaming-v2-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card
MSI NVIDIA GeForce RTX 3070 Ventus 2X LHR Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,729.99,311027,LHRRTX3070VENTU,https://www.microcenter.com/product/640492/msi-nvidia-geforce-rtx-3070-ventus-2x-lhr-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card
PowerColor AMD Radeon 6800 XT Red Devil Overclocked Triple-Fan 16GB GDDR6 PCIe 4.0 Graphics Card,"1,449.99",228130,OC/AXRX6800XT16,https://www.microcenter.com/product/633196/powercolor-amd-radeon-6800-xt-red-devil-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card
Gigabyte NVIDIA GeForce RTX 3070 Ti AORUS Master Overclocked Triple-Fan 8GB GDDR6X PCIe 4.0 Graphics Card,979.99,287250,GV-N307TAORUS M,https://www.microcenter.com/product/638606/gigabyte-nvidia-geforce-rtx-3070-ti-aorus-master-overclocked-triple-fan-8gb-gddr6x-pcie-40-graphics-card
ASUS GeForce RTX 2060 Dual Overclocked Dual-Fan 6GB GDDR6 PCIe 3.0 Graphics Card,439.99,040196,DRTX2060O6GEVO,https://www.microcenter.com/product/614595/asus-geforce-rtx-2060-dual-overclocked-dual-fan-6gb-gddr6-pcie-30-graphics-card
ASUS AMD Radeon RX 6700 XT TUF Overclocked Triple-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,899.99,248781,TUFRX6700XTO12G,https://www.microcenter.com/product/635168/asus-amd-radeon-rx-6700-xt-tuf-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card
ASUS Radeon RX 6800 XT TUF Gaming Overclocked Triple-Fan 16GB GDDR6 PCIe 4.0 Graphics Card,"1,199.99",210351,TUFRX6800XTO16G,https://www.microcenter.com/product/631693/asus-radeon-rx-6800-xt-tuf-gaming-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card
MSI NVIDIA GeForce RTX 3060 Gaming X Overclocked Dual-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,539.99,234864,RTX3060GAMINGX1,https://www.microcenter.com/product/633838/msi-nvidia-geforce-rtx-3060-gaming-x-overclocked-dual-fan-12gb-gddr6-pcie-40-graphics-card
PowerColor AMD Radeon RX 6700 XT Fighter Dual-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,799.99,247940,FTAXRX6700XT12G,https://www.microcenter.com/product/635137/powercolor-amd-radeon-rx-6700-xt-fighter-dual-fan-12gb-gddr6-pcie-40-graphics-card
MSI GeForce GTX 1650 Ventus XS Overclocked Dual-Fan 4GB GDDR5 PCIe 3.0 Graphics Card,279.99,935700,GTX1650 VENTUS,https://www.microcenter.com/product/606545/msi-geforce-gtx-1650-ventus-xs-overclocked-dual-fan-4gb-gddr5-pcie-30-graphics-card
EVGA NVIDIA GeForce RTX 3060 Ti FTW3 Ultra Gaming LHR Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,529.99,297275,08G-P5-3667-KL,https://www.microcenter.com/product/639407/evga-nvidia-geforce-rtx-3060-ti-ftw3-ultra-gaming-lhr-triple-fan-8gb-gddr6-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3070 Dual LHR Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,679.99,310185,DUALRTX3070O8G2,https://www.microcenter.com/product/640597/asus-nvidia-geforce-rtx-3070-dual-lhr-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card
ASUS AMD Radeon RX 6600 XT Dual Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,499.99,308361,DUALRX6600XTO8G,https://www.microcenter.com/product/640335/asus-amd-radeon-rx-6600-xt-dual-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card
PowerColor AMD Radeon RX 6900 XT Red Devil Overclocked Triple-Fan 16GB GDDR6 PCIe 4.0 Graphics Card,"1,699.99",221085,OCRX6900XT16GBD,https://www.microcenter.com/product/632635/powercolor-amd-radeon-rx-6900-xt-red-devil-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card
Sapphire Technology AMD Radeon RX 6700 XT Pulse Overclocked Dual-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,799.99,320739,11306-05-20G,https://www.microcenter.com/product/641620/sapphire-technology-amd-radeon-rx-6700-xt-pulse-overclocked-dual-fan-12gb-gddr6-pcie-40-graphics-card
Zotac NVIDIA GeForce GTX 1660 Twin Fan Dual-Fan 6GB GDDR5 PCIe 3.0 Graphics Card,479.99,324103,ZT-T16600K-10M,https://www.microcenter.com/product/641956/zotac-nvidia-geforce-gtx-1660-twin-fan-dual-fan-6gb-gddr5-pcie-30-graphics-card
PowerColor AMD Radeon RX 6900 XT Ultimate Red Devil Overclocked Triple-Fan 16GB GDDR6 PCIe 4.0 Graphics Card,"1,799.99",264374,AXRX6900XTU16GB,https://www.microcenter.com/product/636419/powercolor-amd-radeon-rx-6900-xt-ultimate-red-devil-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card
Gigabyte NVIDIA GeForce RTX 3060 Gaming Rev 2 Overclocked Triple-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,459.99,287714,GV-N3060GAMING,https://www.microcenter.com/product/638651/gigabyte-nvidia-geforce-rtx-3060-gaming-rev-2-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3070 TUF Gaming V2 Overclocked Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,749.99,294983,TUFRTX3070O8GV2,https://www.microcenter.com/product/639244/asus-nvidia-geforce-rtx-3070-tuf-gaming-v2-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card
Sapphire Technology AMD Radeon RX 6600 XT Nitro Plus Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,519.99,308320,11309-01-20G,https://www.microcenter.com/product/640253/sapphire-technology-amd-radeon-rx-6600-xt-nitro-plus-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card
Sapphire Technology AMD Radeon RX 6600 XT Pulse Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,499.99,308338,11309-03-20G,https://www.microcenter.com/product/640254/sapphire-technology-amd-radeon-rx-6600-xt-pulse-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card
ASUS GeForce GTX 1650 TUF Gaming Overclocked Dual-Fan 4GB GDDR6 PCIe 3.0 Graphics Card,219.99,167668,TGTX1650O4GD6PG,https://www.microcenter.com/product/627658/asus-geforce-gtx-1650-tuf-gaming-overclocked-dual-fan-4gb-gddr6-pcie-30-graphics-card
ASUS NVIDIA GeForce RTX 3070 ROG Strix White V2 LHR Overclocked Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,829.99,319194,STXR3070O8GWTV2,https://www.microcenter.com/product/641376/asus-nvidia-geforce-rtx-3070-rog-strix-white-v2-lhr-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card
MSI GeForce RTX 3090 SUPRIM X Overclocked Triple-Fan 24GB GDDR6X PCIe 4.0 Graphics Card,"2,369.99",207779,RTX3090SUPRIMX2,https://www.microcenter.com/product/631534/msi-geforce-rtx-3090-suprim-x-overclocked-triple-fan-24gb-gddr6x-pcie-40-graphics-card
ASUS NVIDIA GeForce RTX 3070 KO V2 LHR Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,729.99,307314,KORTX3070O8GV2,https://www.microcenter.com/product/640222/asus-nvidia-geforce-rtx-3070-ko-v2-lhr-overclocked-dual-fan-8gb-gddr6-pcie-40-graphics-card
Gigabyte AMD Radeon RX 6600 XT Gaming Pro Overclocked Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,499.99,311910,GV-R66XTGAMINGO,https://www.microcenter.com/product/640594/gigabyte-amd-radeon-rx-6600-xt-gaming-pro-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card
MSI NVIDIA GeForce RTX 3060 Ventus 3X Overclocked Triple-Fan 12GB GDDR6 PCIe 4.0 Graphics Card,519.99,234856,RTX3060VENTUS3X,https://www.microcenter.com/product/633839/msi-nvidia-geforce-rtx-3060-ventus-3x-overclocked-triple-fan-12gb-gddr6-pcie-40-graphics-card
MSI NVIDIA GeForce RTX 3080 Gaming Z Trio LHR Triple-Fan 10GB GDDR6X PCIe 4.0 Graphics Card,"1,149.99",298505,RTX3080GAMZLHR,https://www.microcenter.com/product/639544/msi-nvidia-geforce-rtx-3080-gaming-z-trio-lhr-triple-fan-10gb-gddr6x-pcie-40-graphics-card
PNY Quadro P2200 Single-Fan 5GB GDDR5X PCIe 3.0 Graphics Card,459.99,182022,VCQP2200-SB,https://www.microcenter.com/product/628464/pny-quadro-p2200-single-fan-5gb-gddr5x-pcie-30-graphics-card
ASUS NVIDIA GeForce RTX 3080 Ti ROG Strix Overclocked Triple-Fan 12GB GDDR6X PCIe 4.0 Graphics Card,"1,999.99",279869,STXRTX3080TIO12,https://www.microcenter.com/product/637877/asus-nvidia-geforce-rtx-3080-ti-rog-strix-overclocked-triple-fan-12gb-gddr6x-pcie-40-graphics-card
ASUS NVIDIA GeForce GTX 1660 Phoenix Overclocked Single-Fan 6GB GDDR5 PCIe 3.0 Graphics Card,299.99,292771,PHGTX1660O6G,https://www.microcenter.com/product/639045/asus-nvidia-geforce-gtx-1660-phoenix-overclocked-single-fan-6gb-gddr5-pcie-30-graphics-card
Gigabyte AMD Radeon RX 6600 XT Eagle Overclocked Triple-Fan 8GB GDDR6 PCIe 4.0 Graphics Card,439.99,311902,GV-R66XTEAGLE-8,https://www.microcenter.com/product/640801/gigabyte-amd-radeon-rx-6600-xt-eagle-overclocked-triple-fan-8gb-gddr6-pcie-40-graphics-card
Gigabyte AMD Radeon RX 6800 XT Gaming Overclocked Triple-Fan 16GB GDDR6 PCIe 4.0 Graphics Card,"1,329.99",213710,GV-R68XTGAMING,https://www.microcenter.com/product/631991/gigabyte-amd-radeon-rx-6800-xt-gaming-overclocked-triple-fan-16gb-gddr6-pcie-40-graphics-card
MSI NVIDIA GeForce GTX 1050 Ti Overclocked Dual-Fan 4GB GDDR5 PCIe 3.0 Graphics Card,279.99,222364,OCGTX1050TI4GT,https://www.microcenter.com/product/632714/msi-nvidia-geforce-gtx-1050-ti-overclocked-dual-fan-4gb-gddr5-pcie-30-graphics-card
ASUS GeForce GTX 1650 SUPER TUF GAMING Overclocked Dual-Fan 4GB GDDR6 PCIe 3.0 Graphics Card,249.99,057810,TUFGTX1650SO4GG,https://www.microcenter.com/product/617082/asus-geforce-gtx-1650-super-tuf-gaming-overclocked-dual-fan-4gb-gddr6-pcie-30-graphics-card
