Product_Name,MicroCenter_SKU,BestBuy_SKU,GameStop_SKU,Adorama_SKU,BH_SKU,Amazon_SKU,UUID
ASUS TUF RTX3060TI 8GB GDDR6 PCIe 4.0 Graphics Card,,6452573,,,,,2d8091f5-1323-4a27-aa24-bc5ff87f23ea
GIGABYTE NVIDIA GeForce GT 1030 2GB GDDR5 PCIe 3.0 Graphics Card ,,6409183,,,,,121884b6-b819-4c4a-ac03-b1d43b250998
GIGABYTE NVIDIA GeForce GTX 1650 SUPER OC Edition 4GB GDDR6 PCIe 3.0 Graphics Card ,,6409188,,,GIG1650O4R2G,,84fca766-45a5-4340-8d2a-c4b1c621cf78
GIGABYTE NVIDIA GeForce RTX 3070 EAGLE 8GB GDDR6 PCIe 4.0 Graphics Card,,6437912,,,GIG3070IE8,B09CS2YXTY,7071a6f5-e7b6-4864-9e04-07928a6fdd1b
PNY NVIDIA GeForce GTX 1060 6GB GDDR5 PCIe 3.0 Graphics Card ,,5507806,,,,,2dfd46cf-a49b-44e1-89c6-309942788570
GIGABYTE NVIDIA GeForce GTX 1660 Ti 6GB GDDR6 PCIe 3.0 Graphics Card ,,6409180,,,,,0cf683fe-8f4f-41dc-8406-04522cf0abd2
MSI NVIDIA GeForce GTX 1650 SUPER 4GB GDDR6 PCIe 3.0 Graphics Card ,,6397798,314682,,,,91cbfa1b-be6b-479c-bcc8-6ac810948ece
MSI NVIDIA Geforce RTX 3080 VENTUS 3X 10G OC BV GDDR6X PCIe 4.0 Graphic Card ,,6430175,242868,,,,667bbc37-a75b-4eb3-88cb-94a406b84764
ASUS NVIDIA GeForce ROG STRIX RTX3070 V2 8GB GDDR6 PCIe 4.0 Graphics Card ,,6475228,264495,,,B0985S4F6J,39cdd677-2d51-4e78-984a-2cdc6bb3c174
PNY GeForce RTX 3080 Ti 12GB XLR8 Gaming REVEL EPIC X RGB Triple Fan Graphics Card,,6467289,,,PNR3080T12RE,,0e7d8eb6-88fc-4237-ad7b-873969faad2f
GIGABYTE NVIDIA GeForce RTX 3070 EAGLE OC 8GB GDDR6 PCIe 4.0 Graphics Card,,6471958,,,GIG3070IEOC8,,e6a76279-d921-4ed2-909b-48415f3b187d
GIGABYTE NVIDIA GeForce RTX 3060 GAMING OC 12GB GDDR6 PCIe 4.0 Graphics Card,,6454688,,,,,694f6498-be13-48e3-8e8a-5e60e890d56d
GIGABYTE NVIDIA GeForce RTX 3060 EAGLE OC 12GB GDDR6 PCIe 4.0 Graphics Card,,6454689,,,GIGFN3060E,,247604ac-ed8a-4094-9ff7-6819d69b65dd
