Product_ID,Product_Name,Product_Price,Product_link,Product_Stock
263326,NVIDIA GeForce GT 710 DDR3 2 GB Graphics Card,$69.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/nvidia-geforce-gt-710-ddr3-2-gb-graphics-card/11134963.html?condition=New,Out of Stock
314673,MSI GT 710 2GB DDR3 PCI Express 2.0 Noise Free Low Profile Graphics Card,$69.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-gt-710-2gb-ddr3-pci-express-2.0-noise-free-low-profile-graphics-card/11164384.html?condition=New,Out of Stock
314674,MSI GT 710 1GB DDR3 PCI Express 2.0 x8 Noise Free Low Profile Graphics Card,$59.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-gt-710-1gb-ddr3-pci-express-2.0-x8-noise-free-low-profile-graphics-card/11164385.html?condition=New,Out of Stock
314675,MSI GT 710 2GB DDR3 PCI Express 2.0 Low Profile Graphics Card,$69.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-gt-710-2gb-ddr3-pci-express-2.0-low-profile-graphics-card/11164386.html?condition=New,Out of Stock
314671,MSI GT 730 4GB DDR3 PCI Express 2.0 Graphics Card,$146.66,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-gt-730-4gb-ddr3-pci-express-2.0-graphics-card/11164382.html?condition=New,Out of Stock
314683,MSI GeForce GTX 1650 D6 VENTUS XS OC 4GB GDDR6 PCI Express 3.0 Graphics Card,$309.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-gtx-1650-d6-ventus-xs-oc-4gb-gddr6-pci-express-3.0-graphics-card/11164394.html?condition=New,Out of Stock
314678,MSI GeForce GTX 1660 VENTUS XS 6G OC 6GB GDDR5 PCI Express 3.0 Graphics Card,$349.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-gtx-1660-ventus-xs-6g-oc-6gb-gddr5-pci-express-3.0-graphics-card/11164389.html?condition=New,Out of Stock
314677,MSI GeForce GTX 1660 Ti VENTUS XS 6G OC 6GB GDDR6 PCI Express 3.0 Graphics Card,$379.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-gtx-1660-ti-ventus-xs-6g-oc-6gb-gddr6-pci-express-3.0-graphics-card/11164388.html?condition=New,Out of Stock
314672,MSI GT 710 1GB DDR3 PCI Express 2.0 x16 Noise Free Low Profile Graphics Card,$59.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-gt-710-1gb-ddr3-pci-express-2.0-x16-noise-free-low-profile-graphics-card/11164383.html?condition=New,Out of Stock
314679,MSI GeForce GTX 1660 Ti GAMING 6G OC 6GB GDDR6 PCI Express 3.0 Graphics Card,$409.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-gtx-1660-ti-gaming-6g-oc-6gb-gddr6-pci-express-3.0-graphics-card/11164390.html?condition=New,Out of Stock
314685,MSI GeForce GTX 1650 D6 VENTUS XS OCV1 4GB GDDR6 PCI Express 3.0 Graphics Card,$309.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-gtx-1650-d6-ventus-xs-ocv1-4gb-gddr6-pci-express-3.0-graphics-card/11164396.html?condition=New,Out of Stock
314682,MSI GeForce GTX 1650 D6 GAMING X 4GB GDDR6 PCI Express 3.0 Graphics Card,$329.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-gtx-1650-d6-gaming-x-4gb-gddr6-pci-express-3.0-graphics-card/11164393.html?condition=New,Out of Stock
