Name,price,rating,number of reviews,stock,url
Marvel's Spider-Man: Miles Morales Ultimate Launch Edition – PlayStation 5 ,69.99,4.8 out of 5 stars,"6,755",out of stock,https://www.amazon.com/Marvels-Spider-Man-Morales-Ultimate-Launch-PlayStation/dp/B08FC66ZV4/ref=sr_1_17?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-17
Ghost of Tsushima Director's Cut - PlayStation 5 ,69.99,4.9 out of 5 stars,198,out of stock,https://www.amazon.com/Ghost-Tsushima-Directors-Cut-PlayStation-5/dp/B098G34GBT/ref=sr_1_18?dchild=1&keywords=Playstation+5&qid=1633393842&sr=8-18
Play Station 5 Digital Console with MIGHTYSKINS Custom Console & Controller Skin Voucher New PS5 Digital Video Game Console Package ,997.0,no ratings,no reviews,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07036703FFYG0KFFGY3X&url=%2FStation-Digital-Console-MIGHTYSKINS-Controller%2Fdp%2FB09HL6F5F6%2Fref%3Dsr_1_19_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1633393842%26sr%3D8-19-spons%26psc%3D1&qualifier=1633393842&id=6299186889526003&widgetName=sp_btf
"XPG GAMMIX S70 Blade 2TB PCIe Gen4 M.2 2280 Internal SSD Up to 7,400 MB/s (AGAMMIXS70B-2T-CS) ",329.99,4.5 out of 5 stars,415,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0278197253W7R6D1D5HR&url=%2FXPG-GAMMIX-Blade-Internal-AGAMMIXS70B-2T-CS%2Fdp%2FB093DNV47J%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1633393842%26sr%3D8-20-spons%26psc%3D1&qualifier=1633393842&id=6299186889526003&widgetName=sp_btf
Play Station 5 Digital Series Console with Extra Midnight Black Dual-Sense Controller & Tyler 2 in 1 Screen Cleaner Package New PS5 Digital Console ,1049.0,no ratings,no reviews,out of stock,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A009158722TQE3JJXXS2V&url=%2FStation-Digital-Midnight-Dual-Sense-Controller%2Fdp%2FB09HL3KTXS%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DPlaystation%2B5%26qid%3D1633393842%26sr%3D8-21-spons%26psc%3D1%26smid%3DA5W45QDYAHWB2&qualifier=1633393842&id=6299186889526003&widgetName=sp_btf
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3x DisplayPort 1.4a w/ Mytrix_HDMI 2.1 Cable(4k@120Hz/8K@60Hz) ,899.99,5.0 out of 5 stars,1,Only 13 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09382251XJX5VXDW3X7Y&url=%2FGraphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GHZGD5X%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1633393844%26sr%3D8-1-spons%26psc%3D1&qualifier=1633393844&id=484432045613685&widgetName=sp_atf
MSI Gaming GeForce RTX 3060 Ti LHR Version Graphics Card 8GB GDDR6 PCIe 4.0 Dual-Fan Ampere Architecture Torx Fan 4.0 Zero Frozr 1 x HDMI 3X DisplayPort 1.4a w/ Mytrix_HDMI Cable ,899.99,,no reviews,Only 13 left in stock - order soon.,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0938069PIBGUJ2TGPAS&url=%2FGraphics-Dual-Fan-Architecture-DisplayPort-Mytrix_HDMI%2Fdp%2FB09GJ5GXV7%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3D3060%2BGraphics%2BCard%26qid%3D1633393844%26sr%3D8-2-spons%26psc%3D1&qualifier=1633393844&id=484432045613685&widgetName=sp_atf
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Twin-Frozr Torx Fan Ampere RGB OC Graphics Card (RTX 3060 Gaming X 12G) ,Not available,4.4 out of 5 stars,160,out of stock,https://www.amazon.com/MSI-GeForce-RTX-3060-12G/dp/B08WPJ5P4R/ref=sr_1_3?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-3
"ASUS TUF Gaming NVIDIA GeForce RTX 3060 OC Edition Graphics Card (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings, Military-Grade Certification, GPU Tweak II) ",Not available,4.5 out of 5 stars,202,out of stock,https://www.amazon.com/ASUS-Graphics-DisplayPort-Military-Grade-Certification/dp/B08WHJPBFX/ref=sr_1_4?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-4
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card (RTX 3060 Ventus 2X 12G OC) ,Not available,4.2 out of 5 stars,85,out of stock,https://www.amazon.com/MSI-GeForce-RTX-3060-12G/dp/B08WPRMVWB/ref=sr_1_5?dchild=1&keywords=3060+Graphics+Card&qid=1633393844&sr=8-5
