Product_Name,Product_Price,Product_link,Product_Stock
MSI GeForce RTX 3090 Trio DirectX 12 Graphics Card,3499.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09062462J3N50T8KRA5F&url=%2FGeForce-Graphics-Tri-Frozr-Architecture-DisplayPort%2Fdp%2FB097YZFT5K%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3D3090%2BGraphics%2BCard%26qid%3D1633393848%26sr%3D8-2-spons%26psc%3D1&qualifier=1633393848&id=5026503413331015&widgetName=sp_atf,Only 1 left in stock - order soon.
MSI Ventus 3X GeForce RTX 3090 OC Graphics Card,3699.99,https://www.amazon.com/Graphics-Architecture-Acceleration-DisplayPort-Mytrix_HDMI/dp/B09CHC18N9/ref=sr_1_5?dchild=1&keywords=3090+Graphics+Card&qid=1633393848&sr=8-5,Only 5 left in stock - order soon.
MSI Ventus 3X GeForce RTX 3090 OC Graphics Card,Not available,https://www.amazon.com/Graphics-Architecture-Acceleration-DisplayPort-Mytrix_HDMI/dp/B09CHF6R2Y/ref=sr_1_7?dchild=1&keywords=3090+Graphics+Card&qid=1633393848&sr=8-7,out of stock
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr 2 Ampere Architecture OC Graphics Card,Not available,https://www.amazon.com/MSI-GeForce-Tri-Frozr-Architecture-Graphics/dp/B08HRBW6VB/ref=sr_1_9?dchild=1&keywords=3090+Graphics+Card&qid=1633393848&sr=8-9,out of stock
MSI GeForce RTX 3090 Trio DirectX 12 Graphics Card,3499.99,https://www.amazon.com/GeForce-Graphics-Tri-Frozr-Architecture-DisplayPort/dp/B097YZFT5K/ref=sr_1_10?dchild=1&keywords=3090+Graphics+Card&qid=1633393848&sr=8-10,Only 1 left in stock - order soon.
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card,Not available,https://www.amazon.com/MSI-GeForce-RTX-3090-VENTUS/dp/B08HR9D2JS/ref=sr_1_13?dchild=1&keywords=3090+Graphics+Card&qid=1633393848&sr=8-13,out of stock
MSI Gaming Radeon RX 6900 XT Boost Clock Up to 2340 MHz 256-bit 16GB GDDR6 DP/HDMI Triple Torx 4.0 Fans FreeSync DirectX 12 VR Ready RGB Graphics Card,2089.0,https://www.amazon.com/MSI-Gaming-6900-Trio-16G/dp/B08W2GPR62/ref=sr_1_3?dchild=1&keywords=Radeon+RX+6900+XT&qid=1633393849&sr=8-3,out of stock
MSI Gaming Radeon RX 6900 XT Gaming Z Trio 16G 16GB GDDR6 256-Bit HDMI/DP Nvlink Torx Fan 4 AMD Graphics Card,1899.99,https://www.amazon.com/MSI-Radeon-RX-6900-16G/dp/B096M7NPNP/ref=sr_1_9?dchild=1&keywords=Radeon+RX+6900+XT&qid=1633393849&sr=8-9,Only 5 left in stock - order soon.
MSI Gaming Radeon RX 6800 XT 16GB GDRR6 256-Bit HDMI/DP 2285 MHz RDNA 2 Architecture OC Graphics Card,Not available,https://www.amazon.com/MSI-Radeon-6800-Architecture-16G/dp/B08RJ6YBH5/ref=sr_1_8?dchild=1&keywords=radeon+rx+6800xt&qid=1633393850&sr=8-8,out of stock
MSI GeForce RTX 3060 GAMING X 12GB GDDR6 PCI Express 4.0 Graphics Card,559.99,https://www.gamestop.com/consoles-hardware/desktops-laptops/pc-components/video-cards/products/msi-geforce-rtx-3060-gaming-x-12gb-gddr6-pci-express-4.0-graphics-card/11164400.html?condition=New,Out of Stock
